c001,c010,c100,b001,bc001,abc001
0.0,0.0,6.0,0.0,2.0,0.0
98.0,88.0,92.0,98.0,94.0,100.0
2.0,12.0,2.0,2.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,0.0,0.0
98.0,92.0,92.0,98.0,96.0,100.0
2.0,8.0,2.0,2.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,2.0,0.0
84.0,90.0,86.0,88.0,94.0,100.0
14.0,8.0,8.0,10.0,4.0,0.0
2.0,2.0,0.0,2.0,0.0,0.0
0.0,0.0,6.0,0.0,2.0,0.0
98.0,92.0,92.0,100.0,94.0,100.0
2.0,6.0,2.0,0.0,4.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,2.0,0.0
96.0,88.0,90.0,100.0,94.0,100.0
2.0,10.0,2.0,0.0,4.0,0.0
2.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,2.0,0.0
96.0,86.0,86.0,94.0,88.0,100.0
4.0,14.0,8.0,6.0,6.0,0.0
0.0,0.0,0.0,0.0,4.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0
66.0,68.0,42.0,60.0,57.99999999999999,0.0
32.0,30.0,44.0,40.0,40.00000000000001,100.0
2.0,2.0,12.0,0.0,2.0,0.0
0.0,0.0,6.0,0.0,0.0,0.0
66.0,60.0,90.0,54.0,44.0,100.0
32.0,40.0,4.0,46.0,52.0,0.0
2.0,0.0,0.0,0.0,4.0,0.0
0.0,0.0,6.0,0.0,0.0,0.0
60.0,50.0,86.0,50.0,54.0,96.0
40.0,50.0,8.0,48.0,44.0,4.0
0.0,0.0,0.0,2.0,2.0,0.0
0.0,0.0,6.0,0.0,0.0,0.0
70.0,44.0,90.0,62.0,56.00000000000001,80.0
30.0,56.0,2.0,36.0,41.99999999999999,20.0
0.0,0.0,2.0,2.0,2.0,0.0
0.0,0.0,4.0,0.0,0.0,0.0
68.0,54.0,90.0,56.00000000000001,52.0,100.0
30.0,44.0,6.0,39.99999999999999,42.0,0.0
2.0,2.0,0.0,4.0,6.0,0.0
0.0,0.0,6.0,0.0,2.0,0.0
96.0,66.0,88.0,98.0,88.0,100.0
4.0,34.0,6.0,2.0,8.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0
74.0,60.0,40.0,57.99999999999999,50.0,76.0
26.0,40.0,54.0,42.00000000000001,48.0,24.0
0.0,0.0,4.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
64.0,52.0,46.0,48.0,60.0,100.0
36.0,48.0,52.0,52.0,40.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0
74.0,70.0,44.0,56.00000000000001,57.99999999999999,100.0
26.0,30.0,52.0,43.99999999999999,42.00000000000001,0.0
0.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0
66.0,57.99999999999999,46.0,60.0,56.00000000000001,100.0
34.0,42.00000000000001,50.0,40.0,43.99999999999999,0.0
0.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0
64.0,56.00000000000001,38.0,60.0,62.0,76.0
36.0,43.99999999999999,58.0,40.0,38.0,24.0
0.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0
68.0,57.99999999999999,42.0,56.00000000000001,52.0,100.0
32.0,42.00000000000001,54.0,43.99999999999999,48.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0
