1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
1.6382781,1.4615079,1.4681342,1.4764994,1.450256,1.5094854,1.47924,1.647982,1.8215167,1.631224,1.6223087,1.6260514,1.4820702,1.6718178,1.6454586,1.6858276,1.630654,1.6434827,1.6640195
1.6555216,1.491328,1.4812103,1.4876606,1.4737079,1.4616856,1.5081352,1.6568259,1.6481498,1.816568,1.6546468,1.6316882,1.4736884,1.6510145,1.6503614,1.6464773,1.6469646,1.6494129,1.6479442
1.6560793,1.497195,1.4860486,1.4975501,1.49076,1.5027351,1.4948249,1.6744093,1.6693539,1.8229273,1.6616814,1.6489372,1.5047632,1.6767145,1.6591912,1.6856675,1.6750978,1.6753241,1.6616517
1.6183849,1.4770551,1.4366358,1.4512573,1.4413109,1.4443034,1.4647622,1.6127649,1.6123054,1.6348817,1.6125384,1.6174809,1.4243026,1.6046781,1.6311811,1.6005109,1.610832,1.6081553,1.6141362
1.6700724,1.467185,1.443148,1.4565435,1.4646356,1.4424715,1.457331,1.6382425,1.6458614,1.646729,1.6413178,1.6546141,1.4568367,1.6579335,1.6621463,1.6835686,1.6550021,1.6827754,1.6637351
1.6414995,1.4615345,1.4434126,1.4529393,1.4533765,1.4641078,1.462133,1.605528,1.6222159,1.6227571,1.630862,1.6272107,1.4611421,1.6054602,1.6139721,1.6093936,1.6199126,1.6084725,1.6078044
1.6146515,1.4349479,1.4359904,1.4437461,1.4208848,1.4295044,1.4683182,1.6073358,1.6168325,1.6114269,1.6102534,1.6250837,1.4265448,1.6170626,1.6148728,1.6276787,1.6176242,1.6192077,1.6118373
1.6600589,1.4952543,1.52243,1.5122382,1.492541,1.4871748,1.484155,1.6637461,1.6548573,1.6646655,1.6774144,1.6764061,1.4918056,1.6486366,1.6612012,1.6520651,1.6681367,1.655955,1.6432279
1.8412302,1.4877275,1.4849931,1.488937,1.471752,1.4835367,1.4830335,2.0229316,2.0206537,1.6544786,1.6640467,1.6480038,1.4754835,2.0473503,2.0093853,2.0179869,2.0198558,2.0174048,2.0249846
1.6437039,1.4838196,1.4750188,1.4845555,1.4978526,1.4857234,1.4688556,1.6379736,1.6311902,1.6282281,1.6466799,1.6549937,1.4725187,1.6492555,1.6464315,1.6564632,1.6478046,1.6384457,1.6374109
1.6257176,1.4424933,1.4504631,1.4510072,1.4430313,1.4481976,1.4587562,1.6351112,1.6435446,1.6507838,1.6470816,1.6328057,1.4330185,1.6396148,1.6262671,1.6414736,1.6466956,1.6424812,1.6418772
1.6572262,1.4902914,1.4825025,1.4623016,1.4855109,1.4820957,1.4798668,1.6437824,1.6832479,1.6506721,1.6545395,1.6551509,1.4759204,1.6236413,1.6301496,1.6297351,1.6295964,1.6162288,1.6273728
1.6380903,1.4973551,1.4817894,1.4791549,1.4872233,1.4862707,1.4712985,1.6489696,1.6640739,1.8586339,1.6667287,1.6663623,1.4925753,1.656283,1.6492494,1.6825976,1.6758002,1.6994741,1.6892113
1.5288239,1.5472243,1.4973778,1.5451473,1.504152,1.5056873,1.5376776,1.6626705,1.6478181,1.6651477,1.6603691,1.6735477,1.490772,1.6521987,1.654664,1.656151,1.6646659,1.6554874,1.6749276
1.6159693,1.4602451,1.4567382,1.4600422,1.4382364,1.4855253,1.4613923,1.6346091,1.6067457,1.6328434,1.6449893,1.6408851,1.4571555,1.6783068,1.6166815,1.6103542,1.6649351,1.6194857,1.6106176
